date,price
8/11/03,1.743
8/4/03,1.703
7/28/03,1.707
7/21/03,1.725
7/14/03,1.757
7/7/03,1.785
6/30/03,1.8
6/23/03,1.805
6/16/03,1.787
6/9/03,1.696
6/2/03,1.732
5/26/03,1.763
5/19/03,1.809
5/12/03,1.867
5/5/03,1.928
4/28/03,1.977
4/21/03,2.009
4/14/03,2.077
4/7/03,2.115
3/31/03,2.13
3/24/03,2.143
3/17/03,2.145
3/10/03,2.084
3/3/03,2.012
2/24/03,1.922
2/17/03,1.862
2/10/03,1.752
2/3/03,1.683
1/27/03,1.649
1/20/03,1.634
1/13/03,1.592
1/6/03,1.577
12/30/02,1.532
12/23/02,1.52
12/16/02,1.525
12/9/02,1.54
12/2/02,1.562
11/25/02,1.57
11/18/02,1.587
11/11/02,1.592
11/4/02,1.562
10/28/02,1.521
10/21/02,1.524
10/14/02,1.534
10/7/02,1.546
9/30/02,1.559
9/23/02,1.569
9/16/02,1.58
9/9/02,1.59
9/2/02,1.599
8/26/02,1.593
8/19/02,1.581
8/12/02,1.586
8/5/02,1.593
7/29/02,1.578
7/22/02,1.591
7/15/02,1.604
7/8/02,1.613
7/1/02,1.618
6/24/02,1.618
6/17/02,1.601
6/10/02,1.563
6/3/02,1.563
5/27/02,1.554
5/20/02,1.557
5/13/02,1.571
5/6/02,1.589
4/29/02,1.607
4/22/02,1.613
4/15/02,1.617
4/8/02,1.622
4/1/02,1.592
3/25/02,1.561
3/18/02,1.498
3/11/02,1.454
3/4/02,1.331
2/25/02,1.304
2/18/02,1.286
2/11/02,1.254
2/4/02,1.251
1/28/02,1.224
1/21/02,1.206
1/14/02,1.182
1/7/02,1.129
12/31/01,1.1
12/24/01,1.109
12/17/01,1.141
12/10/01,1.197
12/3/01,1.243
11/26/01,1.293
11/19/01,1.335
11/12/01,1.379
11/5/01,1.422
10/29/01,1.469
10/22/01,1.505
10/15/01,1.55
10/8/01,1.582
10/1/01,1.624
9/24/01,1.66
9/17/01,1.672
9/10/01,1.677
9/3/01,1.643
8/27/01,1.535
8/20/01,1.523
8/13/01,1.56
8/6/01,1.616
7/30/01,1.669
7/23/01,1.722
7/16/01,1.776
7/9/01,1.824
7/2/01,1.859
6/25/01,1.901
6/18/01,1.929
6/11/01,1.946
6/4/01,1.931
5/28/01,1.947
5/21/01,1.951
5/14/01,1.954
5/7/01,1.938
4/30/01,1.867
4/23/01,1.828
4/16/01,1.798
4/9/01,1.754
4/2/01,1.716
3/26/01,1.683
3/19/01,1.695
3/12/01,1.7
3/5/01,1.694
2/26/01,1.662
2/19/01,1.66
2/12/01,1.637
2/5/01,1.59
1/29/01,1.566
1/22/01,1.582
1/15/01,1.6
1/8/01,1.627
1/1/01,1.629
12/25/00,1.647
12/18/00,1.658
12/11/00,1.688
12/4/00,1.721
11/27/00,1.744
11/20/00,1.752
11/13/00,1.777
11/6/00,1.791
10/30/00,1.796
10/23/00,1.797
10/16/00,1.809
10/9/00,1.826
10/2/00,1.832
9/25/00,1.832
9/18/00,1.832
9/11/00,1.849
9/4/00,1.79
